Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Metafield: custom.features [single_line_text_field]
,Poco Basin Mixer,"<p>The Poco Basin Mixer by Abey is designed for use in kitchen or laundry settings. With its sleek modern design, it is crafted to complement stylish environments.</p>",abey.com.au,sinks,,TRUE,,,,,,,6B1,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Brand: Abey
- Application: Kitchen/Laundry
- Sleek modern design
- Complements stylish settings
- Has no overflow"
,Chambord HENRI 1 &amp;amp; 1/2 Bowl Fireclay,<p>The Chambord HENRI 1 & 1/2 Bowl Fireclay sink from the Henri III range is designed for kitchen use and offers a built-in installation type. It features a combination of style and functionality with a primary and secondary bowl.</p>,abey.com.au,sinks,,TRUE,,,,,,,HENRI-3W,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- 1.5 bowl fireclay sink design
- Built-in installation type
- Part of the Henri III range
- Overall length of 997 mm
- Waste outlet dimensions: 90 mm
- Bowl dimensions: 390 mm width x 190 mm depth"
,Palais Kitchen Mixer,"<p>The Palais Kitchen Mixer features a contemporary design and ergonomic handle, making it ideal for modern kitchens. Its durable construction ensures long-term use, while providing smooth water flow for efficient kitchen tasks.</p>",abey.com.au,sinks,,TRUE,,,,,,,PALAIS,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Contemporary design suitable for modern kitchens
- Ergonomic handle for easy operation
- Durable construction ensures long-term use
- Smooth water flow for efficient kitchen tasks"
,Vela Wall Hung Basin 1TH,"<p>The Vela Wall Hung Basin 1TH is designed for wall installation, providing a compact and functional solution for bathroom spaces. It includes a single tap hole and features dimensions that accommodate streamlined bathroom designs.</p>",abey.com.au,basins,,TRUE,,,,,,,LT-5075,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Wall hung installation
- Overall length: 380mm
- Overall width: 245mm
- Overall depth: 80mm
- One tap hole"
,Premium Single Towel Rail 760mm,"<p>The Premium Single Towel Rail 760mm is crafted from high-quality stainless steel, featuring an elegant design that fits both modern and traditional styles. Its corrosion-resistant finish ensures durability and easy installation.</p>",abey.com.au,sinks,,TRUE,,,,,,,CEA05,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- High-quality stainless steel construction
- Elegant 760mm design
- Easy installation process
- Corrosion-resistant finish
- Fits modern and traditional styles"
,Plug &amp;amp; Waste 90x50mm Stone,<p>The Plug &amp; Waste 90x50mm Stone is designed for use with sinks and features a 113mm overall depth. It does not include an overflow capability and is associated with the quality McAlpine brand.</p>,abey.com.au,sinks,,TRUE,,,,,,,6025-S,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- 113mm overall depth
- No overflow feature
- Compatible with sinks
- Quality brand McAlpine"
,Schock Signus Puro 1&amp;amp; 3/4 Bowl Right Hand Bowl 1TH,"<p>The Schock Signus Puro 1&amp; 3/4 Bowl Right Hand Bowl 1TH is a topmount sink designed for both kitchen and laundry applications. Known for its stylish and practical design, this sink is a product of the renowned Schock brand.</p>",abey.com.au,sinks,,TRUE,,,,,,,D200PR,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- - Topmount installation
- - Suitable for kitchen or laundry
- - Stylish and practical design
- - Renowned Schock brand"
,Piazza 340 Square Bowl,"<p>The Piazza 340 Square Bowl is part of the sinks collection, designed for various kitchen applications. It is identified by the SKU ICM.</p>",abey.com.au,sinks,,TRUE,,,,,,,CR340,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Product Title: Piazza 340 Square Bowl
- SKU: ICM
- Part of the sinks collection"
,ClearStone Matt Bath Plug and Waste,"<p>The ClearStone Matt Bath Plug and Waste offers a freestanding design with a drop-in installation, made from durable ClearStone material and suitable for indoor use. It features a built-in overflow and comes with a 5-year warranty.</p>",abey.com.au,baths,,TRUE,,,,,,,26933,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Freestanding style
- Drop-in installation
- Made from ClearStone material
- 5-year warranty
- Built-in overflow
- Designed for indoor application"
,Schock Double Bowl Undermount Puro,"<p>The Schock Double Bowl Undermount Puro is designed for seamless integration with your kitchen's decor, featuring a modern and sleek double bowl layout.</p>",abey.com.au,sinks,,TRUE,,,,,,,N200UP,,,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,"- Double bowl design
- Undermount installation
- Modern and sleek design
- Enhances kitchen functionality"
